Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility_Percentage,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCQ43,,Low Fat,0.11,Others,108.59,OUT027,1985,Medium,Tier 3,Supermarket Type3,1637.87
FDZ22,,Low Fat,0.05,Snack Foods,84.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,1747.73
FDU38,10.8,Low Fat,0.08,Dairy,193.45,OUT017,2007,,Tier 2,Supermarket Type1,2876.26
FDS32,17.75,Regular,0,Fruits and Vegetables,139.98,OUT045,2002,,Tier 2,Supermarket Type1,1966.77
DRH13,8.575,Low Fat,0.02,Soft Drinks,106.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,958.75
DRF03,19.1,Low Fat,0.08,Dairy,40.21,OUT010,1998,,Tier 3,Grocery Store,81.23
FDJ20,20.7,Regular,0.1,Fruits and Vegetables,123.44,OUT049,1999,Medium,Tier 1,Supermarket Type1,1238.39
FDE22,,Low Fat,0.05,Snack Foods,157.89,OUT019,1985,Small,Tier 1,Grocery Store,319.58
FDX22,6.785,Regular,0.02,Snack Foods,211.09,OUT035,2004,Small,Tier 2,Supermarket Type1,4418.25
DRM11,6.57,Low Fat,0.07,Hard Drinks,259.73,OUT013,1987,High,Tier 3,Supermarket Type1,2863.61
FDL25,6.92,Regular,0.13,Breakfast,93.18,OUT049,1999,Medium,Tier 1,Supermarket Type1,1561.97
FDT08,13.65,Low Fat,0.05,Fruits and Vegetables,149.01,OUT045,2002,,Tier 2,Supermarket Type1,2097.27
FDO22,13.5,Regular,0.02,Snack Foods,81.6,OUT017,2007,,Tier 2,Supermarket Type1,639.17
NCM41,16.5,Low Fat,0.04,Health and Hygiene,92.61,OUT018,2009,Medium,Tier 3,Supermarket Type2,559.27
FDJ21,16.7,Regular,0.04,Snack Foods,146.51,OUT045,2002,,Tier 2,Supermarket Type1,2770.39
FDC53,8.68,Low Fat,0.01,Frozen Foods,99.74,OUT018,2009,Medium,Tier 3,Supermarket Type2,295.62
FDQ09,7.235,Low Fat,0.06,Snack Foods,115.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1267.02
DRE25,15.35,Low Fat,0.07,Soft Drinks,92.11,OUT035,2004,Small,Tier 2,Supermarket Type1,1118.54
FDL08,10.8,Low Fat,0.05,Fruits and Vegetables,245.91,OUT013,1987,High,Tier 3,Supermarket Type1,4655.27
FDW03,5.63,Regular,0.03,Meat,105.33,OUT049,1999,Medium,Tier 1,Supermarket Type1,1045.31
FDC17,12.15,Low Fat,0.02,Frozen Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,2735.11
FDE34,9.195,Low Fat,0.11,Snack Foods,182.76,OUT046,1997,Small,Tier 1,Supermarket Type1,3817.03
FDO44,,Low Fat,0.09,Fruits and Vegetables,109.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205.16
NCF31,9.13,Low Fat,0.05,Household,152.3,OUT045,2002,,Tier 2,Supermarket Type1,1821.63
FDG14,9,Regular,0.05,Canned,152.2,OUT017,2007,,Tier 2,Supermarket Type1,3643.26
NCH30,17.1,Low Fat,0.07,Household,114.59,OUT035,2004,Small,Tier 2,Supermarket Type1,2942.84
FDR36,6.715,Regular,0.12,Baking Goods,40.25,OUT013,1987,High,Tier 3,Supermarket Type1,587.24
NCJ30,5.82,Low Fat,0.08,Household,167.78,OUT046,1997,Small,Tier 1,Supermarket Type1,2886.24
FDR08,18.7,Low Fat,0.04,Fruits and Vegetables,110.29,OUT045,2002,,Tier 2,Supermarket Type1,2223.77
NCQ50,18.75,Low Fat,0.04,Household,211.72,OUT017,2007,,Tier 2,Supermarket Type1,5770.49
FDL46,,Low Fat,0.05,Snack Foods,117.75,OUT027,1985,Medium,Tier 3,Supermarket Type3,1414.16
DRK37,5,Low Fat,0.04,Soft Drinks,188.85,OUT046,1997,Small,Tier 1,Supermarket Type1,5502.84
FDK48,7.445,low fat,0,Baking Goods,76.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.83
FDV58,20.85,Low Fat,0.12,Snack Foods,193.95,OUT046,1997,Small,Tier 1,Supermarket Type1,1565.96
FDZ52,19.2,Low Fat,0.1,Frozen Foods,112.99,OUT049,1999,Medium,Tier 1,Supermarket Type1,1667.83
NCF42,17.35,Low Fat,0.17,Household,175.67,OUT046,1997,Small,Tier 1,Supermarket Type1,2812.34
FDQ48,14.3,Regular,0.03,Baking Goods,98.17,OUT035,2004,Small,Tier 2,Supermarket Type1,489.36
FDR58,6.675,Low Fat,0.04,Snack Foods,90.75,OUT035,2004,Small,Tier 2,Supermarket Type1,1665.83
NCE07,8.18,Low Fat,0.01,Household,143.82,OUT017,2007,,Tier 2,Supermarket Type1,2694.49
FDK14,6.98,Low Fat,0.04,Canned,83.49,OUT046,1997,Small,Tier 1,Supermarket Type1,1555.97
FDC11,,Low Fat,0.14,Starchy Foods,87.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,3836.34
NCQ41,14.8,Low Fat,0.02,Health and Hygiene,196.38,OUT013,1987,High,Tier 3,Supermarket Type1,1950.79
FDX46,12.3,Regular,0,Snack Foods,57.36,OUT013,1987,High,Tier 3,Supermarket Type1,177.77
FDC35,7.435,Low Fat,0.12,Starchy Foods,206.96,OUT045,2002,,Tier 2,Supermarket Type1,1035.32
FDH45,15.1,Regular,0.11,Fruits and Vegetables,42.88,OUT035,2004,Small,Tier 2,Supermarket Type1,949.43
FDX33,9.195,Regular,0.12,Snack Foods,160.56,OUT017,2007,,Tier 2,Supermarket Type1,1283.66
DRJ35,10.1,Low Fat,0.05,Hard Drinks,59.99,OUT013,1987,High,Tier 3,Supermarket Type1,484.7
FDP13,8.1,Regular,0.14,Canned,39.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,878.86
FDP24,20.6,Low Fat,0.08,Baking Goods,120.18,OUT049,1999,Medium,Tier 1,Supermarket Type1,1332.93
NCQ42,20.35,Low Fat,0.04,Household,127.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,3560.7
FDU14,17.75,Low Fat,0.04,Dairy,248.68,OUT045,2002,,Tier 2,Supermarket Type1,4993.5
FDT32,19,Regular,0.07,Fruits and Vegetables,188.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,1695.79
FDK20,12.6,Regular,0.04,Fruits and Vegetables,124.01,OUT049,1999,Medium,Tier 1,Supermarket Type1,4042.74
FDU13,8.355,Low Fat,0.19,Canned,148.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,2207.13
FDE05,,Regular,0,Frozen Foods,145.21,OUT019,1985,Small,Tier 1,Grocery Store,437.43
FDE58,18.5,Low Fat,0.05,Snack Foods,118.41,OUT013,1987,High,Tier 3,Supermarket Type1,2370.25
FDZ01,8.975,Regular,0.02,Canned,101.9,OUT010,1998,,Tier 3,Grocery Store,103.2
FDM08,10.1,Regular,0.05,Fruits and Vegetables,224.41,OUT046,1997,Small,Tier 1,Supermarket Type1,4697.88
FDS58,9.285,Regular,0.02,Snack Foods,158.66,OUT013,1987,High,Tier 3,Supermarket Type1,2406.87
FDZ26,11.6,Regular,0.14,Dairy,238.32,OUT046,1997,Small,Tier 1,Supermarket Type1,5736.53
FDY51,12.5,Low Fat,0.08,Meat,220.78,OUT018,2009,Medium,Tier 3,Supermarket Type2,6611.39
FDL34,16,Low Fat,0.04,Snack Foods,142.35,OUT017,2007,,Tier 2,Supermarket Type1,3246.44
DRG39,14.15,Low Fat,0.04,Dairy,51.7,OUT018,2009,Medium,Tier 3,Supermarket Type2,1262.36
NCG43,20.2,Low Fat,0.08,Household,94.15,OUT018,2009,Medium,Tier 3,Supermarket Type2,1758.38
FDT01,13.65,Regular,0.19,Canned,211.59,OUT045,2002,,Tier 2,Supermarket Type1,4672.58
DRF01,5.655,Low Fat,0.18,Soft Drinks,147.41,OUT049,1999,Medium,Tier 1,Supermarket Type1,2478.77
FDF53,20.75,Regular,0.08,Frozen Foods,182.23,OUT035,2004,Small,Tier 2,Supermarket Type1,3067.34
FDR20,20,Regular,0.03,Fruits and Vegetables,46.27,OUT017,2007,,Tier 2,Supermarket Type1,1086.59
FDD38,16.75,Regular,0.01,Canned,102.87,OUT045,2002,,Tier 2,Supermarket Type1,1528.01
FDH32,12.8,Low Fat,0.08,Fruits and Vegetables,95.14,OUT046,1997,Small,Tier 1,Supermarket Type1,868.87
NCJ42,19.75,Low Fat,0.01,Household,103.03,OUT046,1997,Small,Tier 1,Supermarket Type1,1230.4
FDW22,9.695,Regular,0.03,Snack Foods,222.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,5764.5
FDE32,20.7,Low Fat,0.05,Fruits and Vegetables,37.55,OUT035,2004,Small,Tier 2,Supermarket Type1,113.85
FDA34,,Low Fat,0.02,Starchy Foods,174.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,7443.64
FDG38,8.975,Regular,0.05,Canned,83.32,OUT013,1987,High,Tier 3,Supermarket Type1,3579.34
NCE31,7.67,Low Fat,0.19,Household,35.42,OUT013,1987,High,Tier 3,Supermarket Type1,450.08
FDS19,13.8,Regular,0.06,Fruits and Vegetables,76.9,OUT013,1987,High,Tier 3,Supermarket Type1,607.21
FDU11,4.785,Low Fat,0.09,Breads,120.11,OUT013,1987,High,Tier 3,Supermarket Type1,1325.61
FDL02,20,Regular,0.1,Canned,105.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,1270.35
DRK23,8.395,Low Fat,0.07,Hard Drinks,254.1,OUT018,2009,Medium,Tier 3,Supermarket Type2,3542.06
FDO27,6.175,Regular,0.18,Meat,95.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1534
FDB16,8.21,Low Fat,0.05,Dairy,89.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,1308.3
NCB18,19.6,Low Fat,0.04,Household,89.65,OUT018,2009,Medium,Tier 3,Supermarket Type2,1239.72
NCL53,7.5,Low Fat,0.04,Health and Hygiene,175.3,OUT046,1997,Small,Tier 1,Supermarket Type1,3896.26
FDR16,5.845,Regular,0.11,Frozen Foods,214.42,OUT018,2009,Medium,Tier 3,Supermarket Type2,1496.05
NCQ05,11.395,Low Fat,0,Health and Hygiene,151.67,OUT013,1987,High,Tier 3,Supermarket Type1,3460.83
FDF44,7.17,Regular,0.06,Fruits and Vegetables,132.2,OUT018,2009,Medium,Tier 3,Supermarket Type2,2870.93
FDK15,10.8,Low Fat,0.1,Meat,98.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,1488.06
FDS10,,Low Fat,0.04,Snack Foods,182.03,OUT027,1985,Medium,Tier 3,Supermarket Type3,5954.25
FDU32,8.785,Low Fat,0,Fruits and Vegetables,123.04,OUT010,1998,,Tier 3,Grocery Store,121.84
FDG09,20.6,Regular,0.05,Fruits and Vegetables,185.96,OUT035,2004,Small,Tier 2,Supermarket Type1,4318.38
FDE39,7.89,Low Fat,0.04,Dairy,121.08,OUT045,2002,,Tier 2,Supermarket Type1,3456.17
NCH55,16.35,Low Fat,0.04,Household,127.4,OUT045,2002,,Tier 2,Supermarket Type1,759.01
FDC33,,Regular,0.07,Fruits and Vegetables,197.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,7488.92
NCV54,,Low Fat,0.03,Household,116.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,2488.76
NCQ02,12.6,Low Fat,0.01,Household,186.76,OUT013,1987,High,Tier 3,Supermarket Type1,2816.33
NCU17,5.32,Low Fat,0.09,Health and Hygiene,101.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,2954.15
NCZ06,,Low Fat,0.17,Household,255.27,OUT019,1985,Small,Tier 1,Grocery Store,761.01
DRH25,,Low Fat,0.02,Soft Drinks,50.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,1298.31
NCI43,19.85,Low Fat,0.03,Household,46.34,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5
NCQ53,17.6,Low Fat,0.02,Health and Hygiene,237.16,OUT017,2007,,Tier 2,Supermarket Type1,3072.67
NCT18,14.6,Low Fat,0.06,Household,181.8,OUT035,2004,Small,Tier 2,Supermarket Type1,3259.76
FDM14,13.8,Low Fat,0.01,Canned,106.93,OUT046,1997,Small,Tier 1,Supermarket Type1,2930.19
FDX57,17.25,Regular,0.08,Snack Foods,99.21,OUT010,1998,,Tier 3,Grocery Store,97.21
NCV05,10.1,Low Fat,0.03,Health and Hygiene,153.17,OUT046,1997,Small,Tier 1,Supermarket Type1,1544.66
FDX39,14.3,Regular,0.05,Meat,212.56,OUT013,1987,High,Tier 3,Supermarket Type1,3165.88
FDA23,9.8,Low Fat,0.05,Baking Goods,100.6,OUT046,1997,Small,Tier 1,Supermarket Type1,1619.23
NCV06,11.3,Low Fat,0.07,Household,194.45,OUT046,1997,Small,Tier 1,Supermarket Type1,387.5
DRI39,13.8,Low Fat,0.16,Dairy,55.89,OUT010,1998,,Tier 3,Grocery Store,226.37
FDH21,10.395,Low Fat,0.03,Seafood,160.06,OUT049,1999,Medium,Tier 1,Supermarket Type1,1267.68
FDR26,20.7,Low Fat,0.04,Dairy,175.8,OUT046,1997,Small,Tier 1,Supermarket Type1,1593.93
FDA14,,Low Fat,0.11,Dairy,147.18,OUT019,1985,Small,Tier 1,Grocery Store,585.9
FDG21,17.35,Regular,0.15,Seafood,149.61,OUT018,2009,Medium,Tier 3,Supermarket Type2,3745.13
NCQ38,16.35,Low Fat,0.01,Others,104.83,OUT018,2009,Medium,Tier 3,Supermarket Type2,1810.98
FDN20,19.35,Low Fat,0.03,Fruits and Vegetables,167.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2358.26
NCN29,15.2,Low Fat,0.01,Health and Hygiene,50.3,OUT017,2007,,Tier 2,Supermarket Type1,145.81
FDI28,14.3,Low Fat,0.03,Frozen Foods,78.23,OUT018,2009,Medium,Tier 3,Supermarket Type2,554.61
FDZ28,20,Regular,0,Frozen Foods,127.37,OUT046,1997,Small,Tier 1,Supermarket Type1,1780.35
FDO52,,Regular,0.08,Frozen Foods,172.11,OUT027,1985,Medium,Tier 3,Supermarket Type3,2566.66
FDU10,10.1,Regular,0.05,Snack Foods,38.28,OUT017,2007,,Tier 2,Supermarket Type1,1230.4
FDS28,8.18,Regular,0.08,Frozen Foods,56.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,744.36
FDJ03,12.35,Regular,0.07,Dairy,48.57,OUT045,2002,,Tier 2,Supermarket Type1,886.85
FDQ51,16,Regular,0.02,Meat,45.57,OUT013,1987,High,Tier 3,Supermarket Type1,1039.98
NCK06,5.03,Low Fat,0.01,Household,122.68,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.86
FDY09,15.6,Low Fat,0.03,Snack Foods,174.31,OUT017,2007,,Tier 2,Supermarket Type1,1751.05
FDA10,20.35,Low Fat,0,Snack Foods,120.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,1470.09
FDO34,17.7,Low Fat,0.03,Snack Foods,165.98,OUT017,2007,,Tier 2,Supermarket Type1,4362.32
FDE38,,Low Fat,0.04,Canned,164.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,4476.17
FDF40,20.25,Regular,0.02,Dairy,248.41,OUT017,2007,,Tier 2,Supermarket Type1,2241.08
FDY02,8.945,Regular,0,Dairy,264.79,OUT017,2007,,Tier 2,Supermarket Type1,4733.84
FDS03,,Low Fat,0.14,Meat,66.08,OUT019,1985,Small,Tier 1,Grocery Store,258.33
FDB59,18.25,Low Fat,0.02,Snack Foods,199.01,OUT046,1997,Small,Tier 1,Supermarket Type1,3174.53
FDO15,16.75,Regular,0.01,Meat,72.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,960.75
FDV56,,Regular,0.01,Fruits and Vegetables,106.26,OUT027,1985,Medium,Tier 3,Supermarket Type3,1402.17
FDY26,20.6,Regular,0.03,Dairy,211.42,OUT046,1997,Small,Tier 1,Supermarket Type1,7833.8
DRE13,6.28,Low Fat,0.03,Soft Drinks,87.92,OUT035,2004,Small,Tier 2,Supermarket Type1,1221.08
FDD50,18.85,Low Fat,0.14,Canned,168.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2874.92
FDC04,,Low Fat,0.05,Dairy,241.89,OUT027,1985,Medium,Tier 3,Supermarket Type3,4592.02
NCR29,7.565,Low Fat,0.06,Health and Hygiene,54.79,OUT045,2002,,Tier 2,Supermarket Type1,622.52
FDZ04,9.31,low fat,0.04,Frozen Foods,61.65,OUT013,1987,High,Tier 3,Supermarket Type1,379.51
FDU16,19.25,Regular,0.06,Frozen Foods,82.19,OUT049,1999,Medium,Tier 1,Supermarket Type1,2432.83
FDV07,9.5,Low Fat,0.03,Fruits and Vegetables,110.72,OUT045,2002,,Tier 2,Supermarket Type1,1657.84
FDW01,,Low Fat,0.06,Canned,153.47,OUT027,1985,Medium,Tier 3,Supermarket Type3,2287.02
FDC10,,Regular,0.07,Snack Foods,120.31,OUT027,1985,Medium,Tier 3,Supermarket Type3,1687.14
DRC12,17.85,Low Fat,0.04,Soft Drinks,189.12,OUT017,2007,,Tier 2,Supermarket Type1,3237.12
DRK39,7.02,Low Fat,0.05,Dairy,82.23,OUT013,1987,High,Tier 3,Supermarket Type1,2746.43
DRB25,12.3,Low Fat,0.07,Soft Drinks,106.39,OUT035,2004,Small,Tier 2,Supermarket Type1,857.55
FDK26,5.46,Regular,0.03,Canned,184.82,OUT035,2004,Small,Tier 2,Supermarket Type1,4287.75
FDM52,15.1,Low Fat,0.03,Frozen Foods,147.21,OUT045,2002,,Tier 2,Supermarket Type1,1773.69
NCO06,19.25,Low Fat,0.11,Household,33.46,OUT018,2009,Medium,Tier 3,Supermarket Type2,441.43
FDK34,13.35,Low Fat,0.04,Snack Foods,240.26,OUT013,1987,High,Tier 3,Supermarket Type1,2860.28
FDO45,13.15,Regular,0.04,Snack Foods,88.69,OUT045,2002,,Tier 2,Supermarket Type1,1757.71
FDF08,14.3,Regular,0.07,Fruits and Vegetables,89.89,OUT046,1997,Small,Tier 1,Supermarket Type1,966.74
FDH58,12.3,Low Fat,0.04,Snack Foods,115.18,OUT045,2002,,Tier 2,Supermarket Type1,1958.12
FDE02,8.71,low fat,0.12,Canned,93.78,OUT013,1987,High,Tier 3,Supermarket Type1,1783.68
FDR23,15.85,Low Fat,0,Breads,174.74,OUT017,2007,,Tier 2,Supermarket Type1,2822.99
FDY35,17.6,Regular,0.02,Breads,47.24,OUT045,2002,,Tier 2,Supermarket Type1,505.34
FDG44,6.13,Low Fat,0.1,Fruits and Vegetables,54.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,808.95
FDQ23,6.55,Low Fat,0.03,Breads,100.63,OUT035,2004,Small,Tier 2,Supermarket Type1,2665.86
FDY22,16.5,Regular,0.16,Snack Foods,143.81,OUT017,2007,,Tier 2,Supermarket Type1,2588.63
NCN41,17,Low Fat,0.05,Health and Hygiene,125.07,OUT013,1987,High,Tier 3,Supermarket Type1,1108.56
FDO36,,Low Fat,0.08,Baking Goods,180.87,OUT027,1985,Medium,Tier 3,Supermarket Type3,3235.79
FDH20,16.1,Regular,0.03,Fruits and Vegetables,95.14,OUT013,1987,High,Tier 3,Supermarket Type1,3089.31
FDN12,,Low Fat,0.08,Baking Goods,113.15,OUT027,1985,Medium,Tier 3,Supermarket Type3,3355.63
FDB09,16.25,Low Fat,0.06,Fruits and Vegetables,126.2,OUT049,1999,Medium,Tier 1,Supermarket Type1,1867.57
FDA09,13.35,Regular,0.15,Snack Foods,180.27,OUT045,2002,,Tier 2,Supermarket Type1,898.83
FDL24,,Regular,0.03,Baking Goods,172.34,OUT027,1985,Medium,Tier 3,Supermarket Type3,7759.9
FDP03,5.15,Regular,0.06,Meat,125.64,OUT035,2004,Small,Tier 2,Supermarket Type1,2848.29
FDO13,7.865,Low Fat,0.06,Breakfast,166.05,OUT013,1987,High,Tier 3,Supermarket Type1,3617.96
DRD49,9.895,Low Fat,0.17,Soft Drinks,239.46,OUT035,2004,Small,Tier 2,Supermarket Type1,5243.84
FDQ15,,Regular,0.15,Meat,83.13,OUT027,1985,Medium,Tier 3,Supermarket Type3,1868.23
NCP50,17.35,Low Fat,0.02,Others,80.56,OUT013,1987,High,Tier 3,Supermarket Type1,322.25
FDN23,6.575,Regular,0.08,Breads,143.54,OUT035,2004,Small,Tier 2,Supermarket Type1,3338.32
FDS44,12.65,Regular,0.16,Fruits and Vegetables,238.95,OUT049,1999,Medium,Tier 1,Supermarket Type1,4086.01
NCI54,15.2,Low Fat,0.03,Household,110.99,OUT018,2009,Medium,Tier 3,Supermarket Type2,1856.25
FDA21,13.65,Low Fat,0.04,Snack Foods,184.49,OUT018,2009,Medium,Tier 3,Supermarket Type2,5182.59
FDI41,,Regular,0.11,Frozen Foods,145.24,OUT019,1985,Small,Tier 1,Grocery Store,147.14
FDE35,7.06,Regular,0.07,Starchy Foods,58.89,OUT010,1998,,Tier 3,Grocery Store,58.59
DRJ24,11.8,Low Fat,0.11,Soft Drinks,186.39,OUT013,1987,High,Tier 3,Supermarket Type1,5367.68
NCK17,,Low Fat,0.04,Health and Hygiene,41.55,OUT027,1985,Medium,Tier 3,Supermarket Type3,1358.23
FDD36,,Low Fat,0.02,Baking Goods,117.61,OUT027,1985,Medium,Tier 3,Supermarket Type3,2251.74
DRD60,,Low Fat,0.07,Soft Drinks,181.16,OUT019,1985,Small,Tier 1,Grocery Store,181.76
NCM19,,Low Fat,0.05,Others,112.02,OUT027,1985,Medium,Tier 3,Supermarket Type3,5063.41
FDV12,16.7,Regular,0.06,Baking Goods,97.64,OUT035,2004,Small,Tier 2,Supermarket Type1,2857.61
FDQ31,5.785,Regular,0,Fruits and Vegetables,87.19,OUT035,2004,Small,Tier 2,Supermarket Type1,1406.17
FDK55,,Low Fat,0.05,Meat,89.42,OUT019,1985,Small,Tier 1,Grocery Store,178.43
DRG15,6.13,Low Fat,0.08,Dairy,59.35,OUT049,1999,Medium,Tier 1,Supermarket Type1,1470.09
FDV01,,Regular,0,Canned,154.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,6515.52
FDT21,7.42,Low Fat,0.02,Snack Foods,248.41,OUT018,2009,Medium,Tier 3,Supermarket Type2,996.04
FDT10,16.7,Regular,0.06,Snack Foods,57.46,OUT046,1997,Small,Tier 1,Supermarket Type1,948.1
FDN02,16.5,Low Fat,0.07,Canned,208.56,OUT013,1987,High,Tier 3,Supermarket Type1,2691.83
FDJ40,,Regular,0.05,Frozen Foods,108.69,OUT027,1985,Medium,Tier 3,Supermarket Type3,3057.35
DRE27,11.85,Low Fat,0.13,Dairy,96.47,OUT046,1997,Small,Tier 1,Supermarket Type1,978.73
FDS27,10.195,Regular,0.01,Meat,197.51,OUT035,2004,Small,Tier 2,Supermarket Type1,2356.93
DRM59,,Low Fat,0.01,Hard Drinks,153.3,OUT019,1985,Small,Tier 1,Grocery Store,461.4
NCV30,20.2,Low Fat,0.11,Household,62.05,OUT010,1998,,Tier 3,Grocery Store,126.5
FDA51,8.05,Regular,0.17,Dairy,112.25,OUT013,1987,High,Tier 3,Supermarket Type1,1707.78
FDM46,7.365,Low Fat,0.16,Snack Foods,94.71,OUT045,2002,,Tier 2,Supermarket Type1,932.12
FDK02,12.5,Low Fat,0.11,Canned,118.34,OUT017,2007,,Tier 2,Supermarket Type1,2157.19
FDJ57,7.42,Regular,0.02,Seafood,184.86,OUT035,2004,Small,Tier 2,Supermarket Type1,4643.96
FDJ45,,Low Fat,0.07,Seafood,33.72,OUT027,1985,Medium,Tier 3,Supermarket Type3,1281
NCB31,6.235,Low Fat,0.12,Household,261.99,OUT017,2007,,Tier 2,Supermarket Type1,2366.92
FDT50,6.75,Regular,0.11,Dairy,95.68,OUT013,1987,High,Tier 3,Supermarket Type1,958.75
NCY41,16.75,Low Fat,0.08,Health and Hygiene,36.85,OUT049,1999,Medium,Tier 1,Supermarket Type1,1150.5
FDJ60,19.35,Regular,0.06,Baking Goods,163.32,OUT045,2002,,Tier 2,Supermarket Type1,2641.89
FDS21,19.85,Regular,0.02,Snack Foods,62.02,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.19
FDQ08,,Regular,0.02,Fruits and Vegetables,62.95,OUT027,1985,Medium,Tier 3,Supermarket Type3,2266.38
FDS47,16.75,Low Fat,0.13,Breads,89.49,OUT049,1999,Medium,Tier 1,Supermarket Type1,1054.63
DRM48,15.2,Low Fat,0.11,Soft Drinks,38.68,OUT045,2002,,Tier 2,Supermarket Type1,1155.83
FDW46,13,Regular,0.07,Snack Foods,65.75,OUT017,2007,,Tier 2,Supermarket Type1,1174.47
FDU40,20.85,Low Fat,0.06,Frozen Foods,192.25,OUT010,1998,,Tier 3,Grocery Store,387.5
DRE12,,Low Fat,0.07,Soft Drinks,112.89,OUT027,1985,Medium,Tier 3,Supermarket Type3,2942.84
FDX35,5.035,Regular,0.08,Breads,226.3,OUT013,1987,High,Tier 3,Supermarket Type1,4098.66
FDD51,11.15,Low Fat,0.12,Dairy,45.07,OUT049,1999,Medium,Tier 1,Supermarket Type1,452.74
FDY27,6.38,Low Fat,0.03,Dairy,178.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,3211.82
NCN06,8.39,Low Fat,0.12,Household,162.29,OUT046,1997,Small,Tier 1,Supermarket Type1,2620.59
FDR57,5.675,Regular,0.02,Snack Foods,155.53,OUT035,2004,Small,Tier 2,Supermarket Type1,1414.16
FDR19,13.5,Regular,0.16,Fruits and Vegetables,145.31,OUT013,1987,High,Tier 3,Supermarket Type1,729.05
FDJ33,8.895,Regular,0.09,Snack Foods,125.17,OUT017,2007,,Tier 2,Supermarket Type1,2956.15
FDA52,16.2,Regular,0.13,Frozen Foods,178.44,OUT045,2002,,Tier 2,Supermarket Type1,1058.62
FDZ08,,Regular,0.11,Fruits and Vegetables,84.16,OUT027,1985,Medium,Tier 3,Supermarket Type3,1320.95
FDR27,15.1,Regular,0.1,Meat,131.99,OUT017,2007,,Tier 2,Supermarket Type1,3047.37
NCK42,7.475,Low Fat,0.01,Household,217.62,OUT046,1997,Small,Tier 1,Supermarket Type1,1725.75
FDZ12,,Low Fat,0,Baking Goods,144.85,OUT019,1985,Small,Tier 1,Grocery Store,143.15
NCI31,20,Low Fat,0.08,Others,35.02,OUT018,2009,Medium,Tier 3,Supermarket Type2,585.9
FDX16,17.85,Low Fat,0.07,Frozen Foods,149.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2247.08
NCA05,20.75,Low Fat,0.03,Health and Hygiene,146.67,OUT017,2007,,Tier 2,Supermarket Type1,445.42
DRG51,12.1,Low Fat,0.02,Dairy,164.65,OUT010,1998,,Tier 3,Grocery Store,657.81
NCR30,20.6,Low Fat,0.07,Household,74.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,223.71
FDM56,,Low Fat,0.12,Fruits and Vegetables,111.19,OUT019,1985,Small,Tier 1,Grocery Store,218.38
DRM37,15.35,Low Fat,0.16,Soft Drinks,196.68,OUT010,1998,,Tier 3,Grocery Store,591.23
FDN56,5.46,Regular,0.11,Fruits and Vegetables,142.68,OUT013,1987,High,Tier 3,Supermarket Type1,2311.66
FDO49,,Regular,0.06,Breakfast,49.7,OUT019,1985,Small,Tier 1,Grocery Store,50.6
FDC09,15.5,Regular,0.03,Fruits and Vegetables,102.13,OUT018,2009,Medium,Tier 3,Supermarket Type2,615.2
NCZ41,19.85,Low Fat,0.06,Health and Hygiene,126.17,OUT013,1987,High,Tier 3,Supermarket Type1,876.19
FDP19,11.5,Low Fat,0.17,Fruits and Vegetables,128.17,OUT046,1997,Small,Tier 1,Supermarket Type1,2454.14
FDQ24,,Low Fat,0.13,Baking Goods,250.47,OUT019,1985,Small,Tier 1,Grocery Store,251.67
